timestamp,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,satellites_used,battery_remaining
1783593720.6692798,7.2844944,62.65248,-2.5309987,0.13405196,1.0873051,0.012146559,10,-1.0
1783593720.7693384,7.2981462,62.762554,-2.5302486,0.13002457,1.0229703,0.010142351,10,-1.0
1783593720.8693442,7.3126426,62.87484,-2.5302248,0.12483338,0.9546706,0.008322239,10,-1.0
1783593720.9695156,7.3257866,62.971653,-2.5301275,0.119482115,0.89281744,0.0073966216,10,-1.0
1783593721.0692816,7.3399725,63.06882,-2.5299187,0.113305785,0.8268277,0.007160882,10,-1.0
1783593721.1694634,7.352634,63.152145,-2.529667,0.10661594,0.76767963,0.007048043,10,-1.0
1783593721.2694447,7.3653255,63.235714,-2.529067,0.09900685,0.7055404,0.006750673,10,-1.0
1783593721.369288,7.375847,63.30725,-2.528203,0.09266691,0.6510223,0.006230841,10,-1.0
1783593721.4692981,7.385795,63.3789,-2.5271926,0.0865545,0.5948404,0.0057253083,10,0.5000267028808594
1783593721.5692966,7.3934584,63.44009,-2.5265803,0.08022318,0.54589707,0.00491841,10,0.5000267028808594
1783593721.6694887,7.4004574,63.50113,-2.5264907,0.07307743,0.4962087,0.0038692988,10,0.5000267028808594
1783593721.7695236,7.405858,63.55255,-2.526719,0.06607897,0.4527713,0.003559381,10,0.5000267028808594
1783593721.8692982,7.41071,63.603905,-2.526703,0.058497753,0.40899038,0.0036333485,10,0.5000267028808594
1783593721.969304,7.4145064,63.647846,-2.5260448,0.052104626,0.37178564,0.0039292974,10,0.5000267028808594
1783593722.0693655,7.4180446,63.69209,-2.5254827,0.045467123,0.33494645,0.003371599,10,0.5000267028808594
1783593722.1693788,7.421271,63.730633,-2.5255108,0.040803056,0.30456284,0.0030422055,10,0.5000267028808594
1783593722.2692678,7.4245844,63.77009,-2.525834,0.03717336,0.27502418,0.00247511,10,0.5000267028808594
1783593722.3692446,7.4270873,63.804478,-2.5258846,0.03413236,0.25066978,0.0025478147,10,0.5000267028808594
1783593722.469399,7.429217,63.839764,-2.5259986,0.031266402,0.22680378,0.0026919066,10,0.5000267028808594
1783593722.5693107,7.4305806,63.87002,-2.5260506,0.028750917,0.20592225,0.0026079072,10,0.5000267028808594
1783593722.6693714,7.4316125,63.9001,-2.5261793,0.025979258,0.18415435,0.0024961203,10,0.5000267028808594
1783593722.7693264,7.431947,63.92527,-2.5262127,0.023576254,0.16493073,0.002619275,10,0.5000267028808594
1783593722.8693738,7.4320126,63.949547,-2.525867,0.021657975,0.14475164,0.0028808033,10,0.5000267028808594
1783593722.9693868,7.431447,63.96951,-2.5254488,0.020400392,0.12681171,0.0028445767,10,0.5000267028808594
