timestamp,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,satellites_used,battery_remaining
1783578286.0532064,0.025716819,0.021208834,0.0062452853,-0.00052703987,0.0076661617,-0.0032829442,10,-1.0
1783578286.153335,0.0238074,0.022732796,0.0056712776,-0.001425657,0.008431915,-0.0032271831,10,-1.0
1783578286.253311,0.02182201,0.02425075,0.0051617175,-0.0025562905,0.009226444,-0.003321066,10,-1.0
1783578286.3531704,0.020379458,0.024540426,0.0048891753,-0.0036289229,0.008792943,-0.0031834317,10,0.9999465942382812
1783578286.4531765,0.019179258,0.02350308,0.0046190023,-0.004597477,0.0073362864,-0.0028581747,10,0.9999465942382812
1783578286.553197,0.01861261,0.021326028,0.004471883,-0.004887175,0.004998851,-0.0026522067,10,0.9999465942382812
1783578286.653209,0.0187465,0.018312776,0.004549533,-0.004857352,0.0021220797,-0.0024614262,10,0.9999465942382812
1783578286.7533228,0.019771442,0.015518069,0.0049602836,-0.004156092,-7.5132266e-05,-0.0019794821,10,0.9999465942382812
1783578286.8532448,0.021444542,0.0128625855,0.005596131,-0.003077404,-0.0018515718,-0.0015137761,10,0.9999465942382812
1783578286.9532044,0.023375217,0.010570517,0.0062130243,-0.0020019023,-0.0031277572,-0.0010369503,10,0.9999465942382812
1783578287.0531738,0.025513733,0.0079220785,0.006798342,-0.00080200384,-0.0045197634,-0.0007184454,10,0.9999465942382812
1783578287.1531832,0.027183622,0.0057802424,0.007155746,0.00013754496,-0.0056733144,-0.0003596959,10,0.9999465942382812
1783578287.2532275,0.028115233,0.0038337428,0.0075145215,0.0004582397,-0.006419543,-0.00027246383,10,0.9999465942382812
1783578287.3533657,0.027770923,0.002117252,0.0075125843,-9.1628535e-05,-0.0072475653,-0.00016931421,10,0.9999465942382812
1783578287.4532173,0.02672551,0.00029994277,0.00715442,-0.0007400185,-0.008067129,-8.248862e-05,10,0.9999465942382812
1783578287.5533264,0.025734833,-0.0011773382,0.006592363,-0.0014212371,-0.008699143,-0.00035032004,10,0.9999465942382812
1783578287.653445,0.024633864,-0.0024929848,0.0058876574,-0.0021118233,-0.00913397,-0.0004912971,10,0.9999465942382812
1783578287.7532277,0.023700424,-0.0035721697,0.005449772,-0.002126152,-0.009258605,-0.00049284124,10,0.9999465942382812
1783578287.8532834,0.022585822,-0.0041609076,0.0040870756,-0.0022231839,-0.009199197,-0.0009370752,10,0.9999465942382812
1783578287.9531982,0.021215174,-0.00405782,0.0027543902,-0.0027870997,-0.008654949,-0.0015218066,10,0.9999465942382812
1783578288.0532007,0.019560235,-0.0039969618,0.0012523532,-0.003447114,-0.008261955,-0.002057279,10,0.9999465942382812
1783578288.1531541,0.017663034,-0.0044194562,7.2434545e-05,-0.004405725,-0.008253586,-0.002550583,10,0.9999465942382812
1783578288.2531705,0.016109403,-0.005734166,-0.0004953295,-0.0050362144,-0.009290639,-0.0026458665,10,0.9999465942382812
1783578288.3531742,0.015277098,-0.007718019,-0.00090172887,-0.0052147065,-0.010568267,-0.002570799,10,0.9999465942382812
1783578288.4534492,0.01460434,-0.009771817,-0.00090673566,-0.0052375747,-0.011663953,-0.0026645716,10,0.9999465942382812
1783578288.5531824,0.014089085,-0.011594168,-0.00058075786,-0.00498294,-0.0125638135,-0.002401943,10,0.9999465942382812
1783578288.6531947,0.013437103,-0.013667072,0.00041027367,-0.004941771,-0.013760377,-0.001980404,10,0.9999465942382812
1783578288.7532372,0.013029794,-0.015558825,0.001224935,-0.0046006036,-0.014844162,-0.0017163256,10,0.9999465942382812
1783578288.853428,0.012701707,-0.017188573,0.0017567873,-0.0044758753,-0.015798356,-0.001758622,10,0.9999465942382812
1783578288.95346,0.013021046,-0.018112905,0.0018259436,-0.0036712762,-0.015870284,-0.0020033875,10,0.9999465942382812
1783578289.0532823,0.014008547,-0.018171255,0.0015386045,-0.0025799018,-0.0156064285,-0.002319198,10,0.9999465942382812
