timestamp,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,satellites_used,battery_remaining,gps_lat_variance,gps_lon_variance,gps_window_filled
1783662292.4312131,-0.06380892,-0.036081195,-0.047195986,0.004050875,0.016240526,-0.0041925106,10,-1.0,2.3133836959544924e-15,1.876432359499972e-15,0
1783662292.5314913,-0.06575703,-0.036791906,-0.04798679,0.0032693627,0.015591608,-0.004328927,10,0.9999465942382812,1.5482430133534567e-15,1.0751764238099056e-15,0
1783662292.6311755,-0.067622185,-0.037785474,-0.049009785,0.002599043,0.014961331,-0.0044060308,10,0.9999465942382812,3.821675378705076e-15,1.4337307963948597e-15,0
1783662292.7313652,-0.06983053,-0.039366715,-0.049407944,0.0017881892,0.014162355,-0.0041990234,10,0.9999465942382812,3.222302379004099e-15,3.717254887177351e-15,0
1783662292.8312774,-0.07166315,-0.040955067,-0.04914917,0.0008591371,0.013302945,-0.0038362378,10,0.9999465942382812,8.76425549754775e-15,2.2804625781952325e-14,0
1783662292.9313006,-0.07295024,-0.04250045,-0.047892734,0.0005737772,0.012232689,-0.0032177214,10,0.9999465942382812,1.5280305644578417e-14,2.6713922304205996e-14,0
1783662293.0311959,-0.07353256,-0.043651737,-0.04656081,0.000616488,0.011650229,-0.002494802,10,0.9999465942382812,1.8318636080157918e-14,2.7447027115109265e-14,1
1783662293.1311986,-0.073808745,-0.045256935,-0.0444393,0.0009902518,0.010782463,-0.0016807778,10,0.9999465942382812,1.650240390821682e-14,2.1452873971837233e-14,1
1783662293.2312374,-0.07416418,-0.047442485,-0.042450473,0.00084490736,0.009188231,-0.00090527534,10,0.9999465942382812,1.1441469212632107e-14,1.839148493788234e-14,1
1783662293.3312006,-0.07455699,-0.04998206,-0.040389135,0.0008217642,0.007327438,-4.3901196e-05,10,0.9999465942382812,9.898129534962697e-15,8.872107185205532e-15,1
1783662293.431415,-0.07487294,-0.052432515,-0.038888723,0.00061601825,0.005700467,0.00039164547,10,0.9999465942382812,8.886133209088043e-15,1.0577700356452036e-14,1
1783662293.5311894,-0.07490997,-0.05505277,-0.037577525,0.00097457744,0.0037620806,0.0006327929,10,0.9999465942382812,1.1060568373998287e-14,1.9573790153949508e-14,1
