timestamp,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,satellites_used,battery_remaining,gps_lat_variance,gps_lon_variance,gps_window_filled
1783662690.2003832,-0.02401046,-0.10823029,-4.1025853,-0.02426155,0.0144195575,-1.450969,10,-1.0,6.513436870756912e-16,2.1958672075101574e-15,0
1783662690.3004677,-0.028361438,-0.10575752,-4.240546,-0.025240587,0.016662015,-1.4627813,10,-1.0,4.3539710936992755e-15,3.664213808543646e-15,0
1783662690.4004643,-0.03295726,-0.10306276,-4.3925195,-0.02536962,0.018293625,-1.4556199,10,-1.0,4.495063022111307e-15,4.004097824971952e-15,0
1783662690.5005522,-0.036820516,-0.100520454,-4.5314155,-0.024210164,0.018923411,-1.4462187,10,-1.0,1.850918528272628e-14,4.631510688787285e-15,0
1783662690.6005752,-0.039647665,-0.09778616,-4.6795645,-0.021573007,0.019023161,-1.4377594,10,-1.0,2.310127613634618e-14,1.1233672962284202e-14,0
1783662690.7003417,-0.04111835,-0.095111,-4.814433,-0.018140486,0.019057896,-1.4335536,10,-1.0,1.976193913128673e-14,2.3202928949551497e-14,0
1783662690.800484,-0.041716296,-0.091593735,-4.958601,-0.01413422,0.018984558,-1.430605,10,0.8699979782104492,1.8169822671869047e-14,4.064109911485886e-14,1
1783662690.9005451,-0.041682865,-0.08769706,-5.089512,-0.010181025,0.018672714,-1.4299313,10,0.8699979782104492,2.278177810842173e-14,6.069196031604823e-14,1
1783662691.00041,-0.041184645,-0.083169594,-5.22986,-0.0057750186,0.018241964,-1.43087,10,0.8699979782104492,3.1616008588215e-14,5.734304174813777e-14,1
1783662691.100938,-0.039847557,-0.07905405,-5.358868,-0.0020739082,0.017472148,-1.4334877,10,0.8699979782104492,3.131166500524472e-14,4.099829987788737e-14,1
1783662691.2004788,-0.03701708,-0.0750404,-5.499016,0.0019748348,0.015737725,-1.4368223,10,0.8699979782104492,1.7246982168918287e-14,1.4902343664076356e-14,1
1783662691.3004656,-0.033890095,-0.07158319,-5.6289287,0.004887045,0.013667436,-1.4401981,10,0.8699979782104492,1.286605643210435e-14,8.371633428870699e-15,1
1783662691.400609,-0.030177278,-0.06827974,-5.769406,0.007033878,0.011005337,-1.4439274,10,0.8699979782104492,1.703783441200633e-14,5.4141641595653625e-15,1
1783662691.5004349,-0.02685179,-0.065795,-5.898825,0.007896737,0.007756739,-1.4476657,10,0.8699979782104492,2.0047280247473158e-14,6.180949288987244e-15,1
1783662691.6004653,-0.023532312,-0.06357998,-6.0392976,0.007328347,0.0040249955,-1.4513596,10,0.8699979782104492,1.4587663524571886e-14,9.99831001437246e-15,1
1783662691.700658,-0.021193659,-0.06162579,-6.169232,0.0053826463,0.0010767131,-1.4548436,10,0.8699979782104492,1.3733193741907959e-14,1.0808761383359316e-14,1
1783662691.8004513,-0.018981144,-0.05947811,-6.3103323,0.0025110731,-0.0017104524,-1.458254,10,0.8530797958374023,9.768068859868325e-15,9.953125030854834e-15,1
1783662691.900573,-0.017713835,-0.057911534,-6.4407787,-0.00081430346,-0.004370114,-1.4617417,10,0.8530797958374023,1.494318990891515e-14,8.729709255034456e-15,1
1783662692.0006814,-0.017066885,-0.05661458,-6.5819936,-0.0047433292,-0.007011801,-1.4645885,10,0.8530797958374023,1.6966890193603875e-14,8.804394574782203e-15,1
1783662692.100475,-0.017223932,-0.05618712,-6.7122607,-0.008718067,-0.009787257,-1.4672713,10,0.8530797958374023,1.407459620717885e-14,6.751788242241508e-15,1
1783662692.2004492,-0.01823866,-0.056601573,-6.853614,-0.0128834,-0.013134987,-1.469585,10,0.8530797958374023,1.1749195901649107e-14,4.2413041699590216e-15,1
1783662692.300591,-0.01966437,-0.05765608,-6.984028,-0.016309984,-0.016072543,-1.4724767,10,0.8530797958374023,1.0129423418550777e-14,3.988602336525438e-15,1
1783662692.4004595,-0.021257676,-0.05902156,-7.1257367,-0.018792432,-0.018479167,-1.4747808,10,0.8530797958374023,6.1363596462665795e-15,3.2222206540223674e-15,1
1783662692.5005696,-0.022489432,-0.060185205,-7.2566843,-0.020046888,-0.020084891,-1.4773428,10,0.8530797958374023,5.8563831165198385e-15,3.1639185937376516e-15,1
1783662692.6004026,-0.023439376,-0.06127258,-7.3988624,-0.02049833,-0.0210183,-1.4796432,10,0.8530797958374023,4.536027841862241e-15,3.267270964618638e-15,1
1783662692.7003753,-0.024305271,-0.06207145,-7.530479,-0.02028666,-0.020824755,-1.4819596,10,0.8530797958374023,3.2777481590068012e-15,9.233645548356027e-15,1
1783662692.8004699,-0.025274057,-0.06293445,-7.6734385,-0.019994644,-0.020377766,-1.4840513,10,0.8365478515625,3.445848878309016e-15,1.0780140930741483e-14,1
1783662692.9007683,-0.02566404,-0.06407806,-7.806396,-0.019312726,-0.020083446,-1.4864136,10,0.8365478515625,3.687883570289683e-15,9.565634005758296e-15,1
1783662693.0007205,-0.024865473,-0.066314906,-7.950998,-0.017626036,-0.020459125,-1.4883628,10,0.8365478515625,1.0801241179967467e-14,1.4968579293926782e-14,1
1783662693.1004472,-0.023255829,-0.06949258,-8.085363,-0.015885305,-0.021384241,-1.4906402,10,0.8365478515625,1.342664257627873e-14,1.9602511207022417e-14,1
1783662693.2007082,-0.02062108,-0.07358862,-8.231826,-0.013505849,-0.022550125,-1.4924759,10,0.8365478515625,1.3676907495192692e-14,1.819695374161705e-14,1
1783662693.3005085,-0.017318482,-0.07749918,-8.367492,-0.011198122,-0.022986889,-1.4942008,10,0.8365478515625,1.0578550066655927e-14,1.967400829201714e-14,1
1783662693.4003835,-0.01385764,-0.08170301,-8.514691,-0.009876572,-0.022389451,-1.4954641,10,0.8365478515625,1.3629283441704729e-14,1.9300172930233275e-14,1
1783662693.5005624,-0.011917044,-0.08524321,-8.650687,-0.010484713,-0.021210246,-1.4967352,10,0.8365478515625,1.744800356236259e-14,1.6772623671502017e-14,1
1783662693.6003988,-0.011027133,-0.08844925,-8.798168,-0.012504858,-0.018849103,-1.4980065,10,0.8365478515625,2.0592668189318252e-14,8.152984814835696e-15,1
1783662693.7006552,-0.011031057,-0.09106374,-8.934799,-0.015428012,-0.016054498,-1.4991821,10,0.8365478515625,1.7747939547845788e-14,1.3847005069789999e-14,1
1783662693.8005674,-0.011613441,-0.0936944,-9.082957,-0.018817194,-0.012796465,-1.5000446,10,0.8198766708374023,1.729705903405722e-14,1.1917354985126041e-14,1
1783662693.900353,-0.0131689,-0.0958978,-9.219956,-0.021987429,-0.009819344,-1.5013671,10,0.8198766708374023,7.154540471787771e-15,1.8692768797933614e-14,1
1783662694.000552,-0.015763631,-0.09796201,-9.368659,-0.025466548,-0.006215877,-1.5023192,10,0.8198766708374023,9.51457670955171e-15,1.7730506580224473e-14,1
1783662694.1004713,-0.019201173,-0.09916042,-9.506273,-0.028534561,-0.0028129206,-1.5035144,10,0.8198766708374023,1.8104949543268032e-14,1.2664307412397059e-14,1
1783662694.2007985,-0.022998359,-0.09941724,-9.655556,-0.03050628,0.0012225425,-1.5044326,10,0.8198766708374023,2.186862392318488e-14,5.144889942785715e-15,1
1783662694.3004367,-0.026157577,-0.09901709,-9.793489,-0.031049691,0.005148559,-1.5055027,10,0.8198766708374023,1.947748920842251e-14,4.258789774782525e-15,1
1783662694.4004676,-0.029150339,-0.09824335,-9.943262,-0.030483406,0.008655139,-1.5061026,10,0.8198766708374023,1.6339063596165512e-14,3.918762488407176e-15,1
1783662694.5003667,-0.031310085,-0.097120546,-10.082106,-0.028447427,0.011485774,-1.5067444,10,0.8198766708374023,2.4061109332032687e-14,4.711569511794445e-15,1
1783662694.6006331,-0.03342484,-0.09515458,-10.233641,-0.025856543,0.014298139,-1.5410727,10,0.8198766708374023,1.5514054611357913e-14,1.0006157772778512e-14,1
1783662694.7007024,-0.035569094,-0.09326298,-10.380209,-0.02359141,0.016580006,-1.6346037,10,0.8198766708374023,1.5244889552944084e-14,9.097301022542114e-15,1
1783662694.8003945,-0.03831113,-0.09122003,-10.553314,-0.022029882,0.018141728,-1.7883674,10,0.8032112121582031,1.489707628633493e-14,8.798418142741901e-15,1
1783662694.9004552,-0.040936604,-0.0890312,-10.731358,-0.020964557,0.019246137,-1.9705874,10,0.8032112121582031,1.3316877539150407e-14,1.0312157006440742e-14,1
1783662695.0005076,-0.043700762,-0.08639759,-10.94868,-0.019387607,0.020203412,-2.205842,10,0.8032112121582031,5.6768075254865375e-15,1.0424069297575066e-14,1
1783662695.100425,-0.04633259,-0.084445246,-11.174858,-0.018011266,0.020102026,-2.4554641,10,0.8032112121582031,8.991154141694967e-15,1.0297523228425212e-14,1
1783662695.2005064,-0.049186096,-0.082438536,-11.449619,-0.016484663,0.019065015,-2.7065797,10,0.8032112121582031,1.0491040600688305e-14,6.338647357267459e-15,1
1783662695.300507,-0.0511894,-0.080541946,-11.723813,-0.014370385,0.017885292,-2.8460975,10,0.8032112121582031,1.2880041732037486e-14,5.041632877419596e-15,1
1783662695.4004915,-0.052835807,-0.07898211,-12.032827,-0.011273992,0.016018316,-2.9266748,10,0.8032112121582031,1.4075312353891042e-14,5.999757275254141e-15,1
1783662695.5006988,-0.054217216,-0.078335784,-12.322128,-0.008494725,0.014042413,-2.9568918,10,0.8032112121582031,1.4645969304184212e-14,5.017232277216379e-15,1
1783662695.600592,-0.055721365,-0.07876386,-12.634798,-0.005436431,0.010697158,-2.9530437,10,0.8032112121582031,1.0107183822967013e-14,6.279948868141826e-15,1
